index,Company,Country,Rating,Whisky,Collection,lon,lat
136,Brennerei & Mosterei Stadelmann,Switzerland,77.20,20,65,7.8806817,47.1817222
137,Brennerei Brehmer-Knauer,Germany,0.00,1,1,12.6514753,50.7439046
138,Brennerei Druffel,Germany,73.67,5,37,8.2144240,51.8011654
139,Brennerei E. & R. Brasch,Germany,65.00,2,2,10.6085600,49.9440100
140,Brennerei Ehringhausen,Germany,0.00,1,1,7.5871000,51.6837400
141,Brennerei Eiger,Switzerland,84.00,1,3,7.8614240,46.6629600
142,Brennerei Feller,Germany,81.31,14,47,10.0606729,48.2394394
144,Brennerei Gruel,Germany,72.28,19,68,9.4474400,48.5881900
145,Brennerei Henrich,Germany,65.22,13,68,8.4611600,50.0786900
146,Brennerei Höck,Austria,60.00,1,2,12.1301971,47.5349059
147,Brennerei Höhler,Germany,53.11,22,51,8.0748501,50.2454600
148,Brennerei Kramer,Switzerland,78.78,6,13,7.6515326,47.0612783
149,Brennerei L. Psenner,Italy,61.33,1,8,8.5386279,47.3717306
150,Brennerei Lanz,Switzerland,77.50,1,6,7.7835126,47.1874148
151,Brennerei Ludwig Faber,Germany,38.67,1,6,6.4073866,49.8619151
152,Brennerei Martin Meier,Germany,64.17,4,4,9.7635507,47.6411965
153,Brennerei Mühlenthal,Germany,0.00,1,1,6.8414223,49.2955307
155,Brennerei Schwab,Switzerland,80.61,21,21,7.4078754,47.1235171
156,Brennerei Volker Theurer im Gasthof Lamm,Germany,73.50,5,8,8.9790952,48.5265850
157,Brennerei Wild,Germany,74.33,2,11,8.0200464,48.3874710
158,Brennerei Ziegler,Germany,79.23,21,271,9.3201314,49.7400911
159,Brennerei Zürcher,Switzerland,80.39,13,27,7.2438613,47.1172430
160,Breuckelen Distilling,United States,67.83,4,7,-73.9977529,40.6659522
161,Brickway Distillery,United States,0.00,1,1,-95.9314358,41.2547355
162,Broad Branch Distillery,United States,0.00,1,2,-80.2462243,36.1036500
164,Broger,Austria,60.81,12,19,9.6392320,47.3092272
165,Brouwerij de Molen,Netherlands,61.03,2,14,4.7426709,52.0852595
166,Brouwerij Wilderen,Belgium,72.66,14,109,5.1401690,50.8152908
167,Brouwerij-Stokerij PIRLOT,Belgium,73.41,5,77,4.6741707,51.2280791
168,Brown-Forman Distillery,United States,82.32,77,433,-85.7979927,38.2085124
169,Bruckners Erz Bräu,Austria,0.00,2,2,15.0624894,47.8881202
170,Brûlerie du Revermont,France,74.00,1,3,5.6304415,46.7385317
171,Brunschwiler Brennerei,Switzerland,75.50,12,25,9.1339308,47.4273762
172,Buffalo Trace Distillery,United States,84.89,894,9938,-84.8708894,38.2166916
173,Bull Run Distilling Co.,United States,83.00,4,7,-122.6980377,45.5336476
174,Bulleit Distilling Co.,United States,82.27,2,56,-84.8981534,37.9730559
175,Bully Boy Distillers,United States,80.00,4,2,-71.0711798,42.3254589
176,Burgdorfer,Switzerland,71.83,8,11,7.6299485,47.0584991
177,Burger Hofbrennerei,Germany,76.00,1,3,14.0885700,51.8434800
178,Bushmills,Ireland,82.81,247,6950,-6.5195477,55.2020170
179,C. W. Falckenthal Söhne,Germany,0.00,2,1,13.1636906,52.0903895
180,Cadushy Distillery,Netherlands Antilles,65.75,3,9,-72.1972175,16.6487427
181,Caldera Distilling,Canada,83.00,2,3,-63.0454371,45.7566751
184,Canadian Mist,Canada,58.88,6,13,-80.2169047,44.5007687
187,Cascade Hollow Distillery,United States,81.28,65,362,-86.2444650,35.4382849
190,Catoctin Creek Distillery,United States,76.77,18,19,-77.7150274,39.1365006
191,Catskill Distilling Company,United States,79.42,8,18,-74.7357905,41.7026710
192,Cave de la Crausaz,Switzerland,76.00,4,10,6.3709580,46.4797910
193,Cedar Ridge Winery & Distillery,United States,83.00,6,12,-91.6775116,41.8313381
194,Central City Brewers + Distillers,Canada,77.00,1,4,-122.8637738,49.2099613
196,Charbay Distillery & Winery,United States,85.61,9,24,-122.5417790,38.5219434
197,Charles Medley Distillery,United States,85.56,15,47,-87.1021601,37.7505610
199,Chichibu,Japan,87.41,212,6256,139.0543551,36.0465647
200,Chicken Cock Distilleries ,United States,77.00,11,7,-80.1088334,32.9611679
201,Chicken Hill,Switzerland,76.75,14,28,8.5457272,47.1764904
202,Chicken Hill,Switzerland,76.75,14,28,8.5457272,47.1764904
204,Chugoku Jozo ,Japan,80.61,11,545,132.3316220,34.3482578
207,Clear Creek Distillery,United States,81.10,16,99,-122.7004134,45.5378193
208,Cleveland Whiskey,United States,82.96,22,66,-81.6720769,41.5060460
209,Clonakilty Distillery,Ireland,84.42,2,26,-8.8914290,51.6234340
210,Coillmór,Germany,70.24,50,143,12.8576500,49.1762900
211,Collier and McKeel,United States,72.00,2,1,-86.7960610,36.1646805
212,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
213,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
214,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
215,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
216,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
217,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
218,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
219,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
220,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
221,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
222,Colorado Gold Distillery,United States,75.00,3,2,-95.7128910,37.0902400
223,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
224,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
225,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
226,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
227,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
228,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
229,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
230,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
231,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
232,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
233,Conecuh Ridge Distillery,United States,79.72,9,24,-95.7128910,37.0902400
234,Connacht Distillery,Ireland,81.50,7,9,-9.1520198,54.1253001
235,Cooley Distillery,Ireland,82.36,381,8247,-6.3671103,53.9769818
237,Cooperstown Distillery,United States,72.00,6,3,-74.9318888,42.6994819
238,Copper Fox Distillery,United States,65.53,18,119,-78.2180710,38.6588630
239,Copper Rivet Distillery,United Kingdom,0.00,1,1,0.5317180,51.4031990
240,Copper Run Distillery,United States,0.00,1,1,-93.2444761,36.8012618
241,Coppersea Distilling,United States,88.00,4,3,-73.9603646,41.8117704
242,Copperworks Distilling Co.,United States,87.00,5,4,-122.3397450,47.6060320
243,Corby Spirit and Wine Ltd.,Canada,82.19,30,509,-106.3467710,56.1303660
244,Corby Spirit and Wine Ltd.,Canada,82.19,30,509,-106.3467710,56.1303660
245,Cornelius Pass Roadhouse Distillery,United States,0.00,1,1,-122.9004755,45.5490951
246,Corsair Artisan Distillery,United States,76.99,41,86,-86.7960610,36.1646805
247,Cotswolds Distillery,United Kingdom,82.00,21,356,-1.5653490,52.0255860
248,Cradle Mountain,Australia,84.26,8,49,146.1872071,-41.1702632
249,Craft Distillers,United States,0.00,8,6,-123.2077708,39.1480992
251,Cut Spike Distillery,United States,87.00,2,13,-96.0996390,41.1697040
253,Dachstein Destillerie Mandlberggut,Austria,60.64,7,27,13.5622645,47.4092371
255,Dallas Distilleries Inc.,United States,72.00,3,8,-96.6966879,32.9048107
256,Dancing Cows Distillery,United Kingdom,0.00,2,1,-1.5511290,50.7420340
257,Dancing Goat Distillery,United States,0.00,1,1,-89.0297608,43.0177961
260,Dark Horse,United States,80.00,4,5,-94.7214237,38.9729167
262,De Graal,Belgium,71.28,2,28,3.7711008,50.8003397
263,De Lepelaar,Netherlands,78.17,5,25,4.7387488,53.0313727
264,De Lepelaar,Netherlands,78.17,5,25,4.7387488,53.0313727
268,De Tweekoppige Phoenix ,Netherlands,58.00,2,8,-111.0937311,34.0489281
269,Death's Door Distillery,United States,74.00,2,2,-89.5284023,43.0999829
271,Deerhammer,United States,0.00,3,2,-106.1298394,38.8423330
272,Deheck,Germany,81.00,1,1,8.1866994,49.7863429
273,Delaware Phoenix Distillery,United States,79.00,5,5,-75.1302524,42.1684486
274,Demmel & Cie.,Germany,61.50,2,6,10.8348200,52.0195000
275,"Destileria Limtuaco & Co., Inc.",Philippines,21.00,6,5,121.0348442,14.6481656
276,"Destilerías Aldea, S.L.",Spain,77.50,1,4,-17.7629185,28.8099198
277,Destilerías Y Crianza,Spain,67.59,18,172,-4.0639510,40.9254300
278,Destilérka Svach,Czech Republic,86.00,1,1,14.3644653,48.8273547
279,Destillate Siegfried Herzog,Austria,63.33,1,5,12.8331390,47.4077579
280,Destille Kaltenthaler,Germany,54.00,3,6,8.2546435,49.7030731
281,Destillerie & Genussmanufaktur Rieger & Hofmeister,Germany,59.00,4,6,9.2810818,48.8051157
282,Destillerie Egnach,Switzerland,79.15,2,23,9.3838870,47.5414655
284,Destillerie Gößwein,Germany,40.67,4,6,9.8464600,49.8752500
287,Destillerie Ralf Hauer ,Germany,82.48,10,60,8.1796739,49.4638565
288,Destillerie Rogner,Austria,75.00,6,6,15.1279484,48.5302575
289,Destillerie Wilhelm Behr,Germany,0.00,1,1,11.9895600,51.7546300
290,Destylarnia Piasecki,Poland,74.00,1,1,20.4382080,53.7217620
291,Det Norske Brenneri,Norway,81.21,6,19,10.7233206,59.9202568
292,Detroit City Distillery,United States,76.00,3,1,-83.0381095,42.3463445
294,Die Kleinbrennerei Rackelmann,Germany,0.00,2,2,11.2218602,49.7207035
295,Die kleine Destillerie,Germany,70.00,2,1,9.4010764,48.8259498
299,Dillon's Small Batch  Distillers,Canada,77.00,3,11,-79.4452484,43.1891296
300,Distilleerderij Keuris,Netherlands,77.43,1,7,4.8508086,52.0831996
301,Distillerie Castan,France,76.50,4,20,2.0348228,44.0142374
302,Distillerie Claeyssens de Wambrechies,France,65.96,6,44,3.0518497,50.6883003
303,Distillerie de Biercée,Belgium,52.00,1,18,4.2879346,50.3083773
304,Distillerie de Monsieur Balthazar,France,74.17,2,17,2.7113616,46.5083737
305,Distillerie de Paris,France,42.50,3,9,2.3499280,48.8737579
306,Distillerie des Menhirs,France,78.75,13,296,-4.1523340,47.9384910
307,Distillerie Diedenacker,Luxembourg,68.33,7,46,6.4009516,49.6352907
308,Distillerie Dreum,France,73.00,1,1,3.5846691,50.1969700
309,Distillerie du Pays d'Othe,France,71.83,3,9,2.2137490,46.2276380
310,Distillerie du Pays d'Othe,France,71.83,3,9,2.2137490,46.2276380
311,Distillerie du Pays d'Othe,France,71.83,3,9,2.2137490,46.2276380
312,Distillerie du Périgord,France,74.43,2,22,1.1877185,44.8650281
313,Distillerie du St. Laurent,Canada,0.00,1,2,-68.5049057,48.4557113
314,Distillerie Ergaster,France,73.00,1,1,2.9648522,49.5518789
315,Distillerie G. Miclo,France,83.82,6,35,-118.2436849,34.0522342
316,Distillerie Grallet-Dupic,France,78.26,14,135,6.4343952,48.4498813
317,Distillerie Janot,France,0.00,2,4,5.6082056,43.2815672
318,Distillerie La Rouget de L'Isle,France,85.08,4,19,5.4441840,46.7490829
319,Distillerie Mavela,France,73.46,16,162,9.4564060,42.0842540
320,Distillerie Meyer,France,75.34,3,95,7.3542126,48.3372983
321,Distillerie Moutard,France,73.00,1,1,4.3946455,48.0547240
322,Distillerie Muller-Lemmer,Luxembourg,78.00,1,6,6.2261253,49.5847992
324,Distillerie Seetal GmbH,Switzerland,0.00,3,5,8.3218395,47.1811341
325,Distillerie Theo Preiss,France,75.50,2,11,7.3226637,48.1506690
326,Distillery 291,United States,0.00,6,13,-104.8257169,38.8098644
328,Dobson's,Australia,76.00,3,1,151.4445301,-30.7556202
329,Doc Porter's Distillery,United States,0.00,1,1,-80.8797570,35.1882872
330,Dolleruper Destille,Germany,62.84,4,12,9.6924201,54.7853739
331,Domaine de Bourjac,France,71.00,1,2,6.1317955,49.6117863
332,Domaine des Hautes Glaces,France,79.15,26,125,5.7359266,44.8359269
333,Don Quixote Distillery,United States,82.00,1,1,-105.9926830,35.6598174
334,Donner-Peltier Distillers,United States,0.00,2,3,-90.8174836,29.8184361
335,Door County Distillery,United States,0.00,1,2,-87.3358460,44.9519080
337,Doz de Dauzanges,France,65.00,1,5,-1.1744223,48.5457010
339,Drexler,Germany,72.70,37,55,13.0018400,49.1926200
341,Dry Fly Distilling,United States,80.36,15,62,-117.3941863,47.6627053
344,DÜRR Edelbranntweine GmbH,Germany,77.17,3,6,8.6258082,48.6388204
345,Duvel Moortgat,Belgium,43.73,2,127,4.4699360,50.5038870
346,Duvel Moortgat,Belgium,43.73,2,127,4.4699360,50.5038870
348,Eaglesburn Distillery,Netherlands,81.00,6,16,4.3943288,51.2148740
350,Eastside Distilling,United States,78.13,4,6,-122.6623549,45.5097499
351,Eau Claire Distillery Ltd.,Canada,0.00,1,1,-114.2797768,50.6737826
352,Echlinville Distillery Ltd,Ireland,76.06,8,96,-5.5112800,54.4658400
353,Edelbrände Senft,Germany,72.43,13,75,9.2616158,47.7959479
354,Edelbrennerei Anton Bischof ,Germany,61.00,2,7,9.7849900,50.1669800
355,Edelbrennerei Dirker ,Germany,76.83,4,10,9.1462621,50.0917226
356,Edelbrennerei Haas,Germany,76.19,11,11,11.1753378,49.7556354
357,Edelbrennerei Schloss Neuenburg,Germany,79.38,3,20,11.7774225,51.2088678
358,Edelobst & Whiskydestille Höning,Germany,79.00,3,8,7.8465372,49.5693303
359,Edgefield Distillery,United States,81.00,7,12,-122.4065816,45.5371150
360,Eifel Destillate,Germany,77.81,29,80,7.6022217,50.3456843
361,Eigashima Shuzo ,Japan,82.67,65,1118,134.9390810,34.6819550
362,Eimverk Distillery,Iceland,69.08,27,243,-21.9377714,64.0900175
363,Eleven Wells Spirit,United States,76.00,6,2,-93.0401351,44.9635588
365,"Emperador Distillers, Inc.",Philippines,38.00,1,3,121.0592850,14.2642086
366,Enghaven,Denmark,68.50,2,8,10.2113069,56.5242810
368,English Spirit Distillery (Old Salt Depot),United Kingdom,87.13,5,4,0.3839066,52.1952857
370,Erismann,Switzerland,79.50,2,13,8.5669806,47.5158058
371,Erlebnisbrennerei Kallnach,Switzerland,73.83,3,16,7.2257061,47.0294637
372,Etter,Switzerland,77.24,16,62,8.4867991,47.1852142
374,Fary Lochan,Denmark,79.66,22,117,9.2530210,55.8023460
375,Feinbrennerei Simon's,Germany,71.50,2,23,9.1309118,50.0970964
376,Feiner Kappler,Germany,85.50,1,14,8.1114755,48.5992458
377,Feisty Spirits Distillery,United States,0.00,3,2,-105.0461068,40.5851246
378,FEW Spirits,United States,82.32,27,171,-87.6799324,42.0349222
379,Filibuster Distillery,United States,82.38,5,9,-78.4648234,38.9295687
380,Finch Whiskydestillerie,Germany,79.10,36,208,9.7920129,48.5411402
381,Finger Lakes Distilling,United States,78.62,11,30,-76.8635775,42.4601992
382,Fisselier,France,0.00,1,3,-1.6122393,48.0821222
383,Fleurieu Distillery,Australia,0.00,4,6,138.7783094,-35.4980286
395,Florida Farm Distillers,United States,76.88,2,8,-81.6679885,28.9299201
396,Fogs's End Distillery,United States,69.00,1,1,-121.4475373,36.5066626
397,Foothills Distillery,United States,80.29,2,1,-81.2012060,35.6965080
398,Forgan Distillery Ltd.,United Kingdom,0.00,2,2,-2.9242230,53.6822640
399,Forschungs- und Lehrbrennerei der UNI Hohenheim     ,Germany,50.00,5,3,9.2086875,48.7112232
400,Forty Creek,Canada,82.33,20,323,-79.5830771,43.2031108
401,Four Roses Distillery,United States,83.79,839,2751,-84.8981534,37.9730559
405,Franz Kostenzer,Austria,54.03,12,27,11.7090438,47.4619634
406,Franz Stettner & Sohn GmbH,Germany,86.00,1,1,11.7429433,48.0756809
407,Franzlahof,Austria,0.00,1,1,13.8219326,47.1247444
408,Fremont Mischief Distillery,United States,60.00,4,4,-122.3565504,47.6515791
409,Fuji Gotemba,Japan,84.34,66,520,138.9348700,35.3087148
411,Gammelstilla Whisky AB,Sweden,85.84,2,45,16.6355510,60.4406806
412,Garrison Brothers Distillery,United States,78.12,11,46,-98.5640821,30.2172788
413,Gasthausbrauerei Wismar GmbH,Germany,82.22,4,17,11.4620212,53.8952752
414,Gasthof Hirsch,Germany,58.00,1,1,9.9594444,48.6442599
416,Gelephu Distillery,Bhutan,77.67,4,16,90.4927134,26.8725114
417,Gemenc Distillery,Hungary,78.00,2,2,18.8167477,46.2039375
418,George Washington's Grist Mill and Distillery,United States,0.00,3,6,-77.1327082,38.7168526
420,Georgia Distilling Company,United States,0.00,1,2,-83.2710118,33.0933746
421,Gerhard Büchner,Germany,66.28,4,16,11.7707819,51.4859398
422,Gerlachus Stokerij,Netherlands,64.50,7,7,5.8541139,50.8852091
423,Gilbert Holl,France,80.83,3,4,7.2819459,48.2024371
424,Gimli,Canada,0.00,2,2,-97.0027360,50.6548000
425,Ginebra San Miguel Inc.,Philippines,0.00,1,1,121.0579987,14.5812998
426,Glacier Distilling,United States,63.00,5,4,-113.8808779,48.4261735
429,Glann ar Mor,France,84.91,82,814,-3.0813611,48.8605162
430,Glen Els,Germany,86.34,226,6474,10.6458500,51.6258290
431,Glen Els,Germany,86.34,226,6474,10.6458500,51.6258290
432,Glen Kella,United Kingdom,69.58,5,19,-2.2426305,53.4807593
434,Glendalough,Ireland,79.28,21,599,-6.3298400,53.0119800
435,Glenmore Distilleries Co.,United States,88.50,16,9,-87.1128910,37.7717717
436,Glenora Distillery,Canada,77.40,29,263,-61.3187300,46.1509535
437,Glina Whisky Destillerie,Germany,72.60,13,28,12.8824954,52.3502863
438,Goalong Liquor,China,58.00,4,1,113.0419899,28.1921489
441,Golden Moon Distillery,United States,84.84,3,19,-105.1971018,39.7232786
443,Gooderham & Worts,Canada,85.75,1,3,-79.3831843,43.6532260
444,Goodridge & Willams,Canada,0.00,1,1,-123.0282602,49.1359125
445,Gotland Whisky,Sweden,81.92,4,278,18.4500000,57.5166670
446,Gouden Carolus,Belgium,73.19,1,1,4.4731253,51.0318580
447,Gourmet Berner GmbH & Co. KG,Germany,0.00,1,1,9.3843738,48.8136263
448,Graanbranderij De IJsvogel,Netherlands,75.88,5,36,6.1825280,51.4700103
449,Graanstokerij Filliers ,Belgium,72.86,31,405,3.5443138,50.9910142
450,Grand Traverse Distillery,United States,80.34,3,11,-85.5589734,44.7210079
451,GrandTen Distilling,United States,70.00,1,1,-71.0576696,42.3349239
452,Granit Destillerie,Austria,20.75,2,1,15.3422000,48.8271501
453,Great Lakes Distillery,United States,80.83,6,4,-87.9186562,43.0267725
454,Great Northern Distillery,Ireland,87.29,5,11,-6.4232059,54.0016576
455,Great Outback,Australia,75.25,2,22,133.7751360,-25.2743980
456,Great Outback,Australia,75.25,2,22,133.7751360,-25.2743980
457,Great Southern Distilling Company,Australia,75.28,20,20,117.8477499,-35.0409184
458,Great Southern Distilling Company,Australia,75.28,20,20,117.8477499,-35.0409184
459,Great Wagon Road Distilling Company,United States,0.00,2,2,-80.8814186,35.1860008
461,Greenbar Distillery,United States,75.00,2,2,-118.2281320,34.0298600
464,Grythyttan,Sweden,81.93,25,762,15.0223968,59.5138514
465,Guglhof,Austria,73.52,12,28,13.0996125,47.7184527
466,Guillon,France,75.05,18,126,4.1394680,49.1137340
467,Gute Destilleri,Sweden,73.84,2,50,18.2627010,57.1876455
471,Habbel's Destillerie & Brennerei,Germany,66.33,8,30,7.2919350,51.3218278
473,Hagen-Rühli,Switzerland,80.25,12,12,8.8723070,47.6091195
474,Hakushu,Japan,87.46,134,4658,138.5684486,35.6641575
